Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
Alexander's Ragtime Band;Jan;1;1938;2;4;4
Willy Wonka & the Chocolate Factory;Jun;30;1971;3;4;4
The Perfect Game;Apr;16;2010;12.May;1.089.445;3.931.367
Gracie;Jun;1;2007;9;2.956.339;3.922.043
Warlock: The Armageddon;Sep;24;1993;3;3.902.679;3.902.679
L'auberge espagnole;Mar;21;2003;5.Eyl;3.895.664;3.895.664
Clerks;Oct;19;1994;0.027;3.073.428;389.424
Tulip Fever;Sep;1;2017;25;2.455.635;3.882.453
Rules Don’t Apply;Nov;23;2016;26.Tem;3.652.206;3.871.448
You Kill Me;Jun;22;2007;4;2.426.851;3.858.964
Brick Lane;Jun;20;2008;2.May;1.094.998;3.838.486
To Save a Life;Jan;22;2010;0.5;377.721;3.824.868
The Real Cancun;Apr;25;2003;4;3.816.594;3.816.594
Better Luck Tomorrow;Apr;11;2003;0.25;380.239;3.809.226
Green Room;Apr;15;2016;5;3.220.371;3.807.503
Free Fire;Apr;21;2017;10;1.799.322;3.793.739
Celeste and Jesse Forever;Aug;3;2012;0.84;3.103.407;3.787.689
Jane Got a Gun;Jan;29;2016;25;1.513.793;3.771.345
Hedwig and the Angry Inch;Jul;20;2001;6;3.067.312;374.003
Like Crazy;Oct;28;2011;0.25;3.395.391;3.731.489
By the Sea;Nov;13;2015;20;0.53846;3.727.746
Machine Gun Preacher;Sep;23;2011;30;0.53869;3.721.988
Jekyll and Hyde... Together Again;Aug;27;1982;5;3.707.583;3.707.583
Thirteen Conversations About One Thing;May;24;2002;3;3.287.435;3.705.923
The Day the Earth Stood Still;Mar;4;2003;1.Şub;3.Tem;3.Tem
Days of Heaven;Sep;13;1978;3;3.446.749;366.088
The Iceman;May;3;2013;10;1.930.282;3.623.609
Lesbian Vampire Killers;Dec;29;2009;2;0;3.620.902
The Killer Inside Me;Jun;18;2010;13;0.217277;3.617.277
BloodRayne;Jan;6;2006;25;240.542;360.542
Cats Don't Dance;Mar;26;1997;32;3.588.602;3.588.602
Fireflies in the Garden;Oct;14;2011;8;0.036884;3.587.191
The Secret of Kells;Mar;5;2010;8;0.69029;3.582.797
The Sidewalks of New York;Nov;21;2001;1;2.402.459;3.575.308
American Anthem;Jun;27;1986;7;3.571.624;3.571.624
Pieces of April;Oct;17;2003;0.3;2.528.664;3.571.253
The Neon Demon;Jun;24;2016;7.May;1.333.124;3.559.803
Junebug;Aug;3;2005;1;267.801;3.553.253
The Joneses;Apr;16;2010;10;1.475.746;3.541.565
The Paperboy;Oct;5;2012;12.May;0.6772;3.522.153
Per un pugno di dollari;Jan;18;1967;0.2;3.May;3.May
Bathing Beauty;Jan;1;1944;2.361;3.May;3.May
State Fair;Mar;9;1962;4.May;3.May;3.May
Veronica Mars;Mar;14;2014;6;3.322.127;3.485.383
Heaven's Gate;Nov;19;1980;44;3.484.331;3.484.523
Camping Sauvage;Jul;16;2004;4.Haz;3.479.302;3.479.302
Talk Radio;Dec;1;1988;4;3.468.572;3.468.572
Next Stop Wonderland;Aug;21;1998;1;3.395.581;3.465.703
Shattered Glass;Oct;31;2003;6;2.207.975;3.456.602
Chiamatemi Francesco - Il papa della gente;Dec;31;2015;15;0;3.454.036
Beneath Hill 60;Jun;17;2014;9;0;3.440.939
Full Frontal;Aug;2;2002;2;2.512.846;3.438.804
The Ultimate Gift;Mar;9;2007;9;3.438.735;3.438.735
Bathory;Dec;31;2008;15;0;3.436.763
Child 44;Apr;17;2015;50;122.433;343.433
The Company;Dec;25;2003;15;2.281.585;3.396.508
Crash;Oct;4;1996;10;3.357.324;3.357.324
Unknown;Nov;3;2006;3.Tem;0.026403;3.355.048
The Work and the Glory;Nov;24;2004;7.May;3.347.647;3.347.647
Atlas Shrugged: Part II;Oct;12;2012;10;3.336.053;3.336.053
The Wackness;Jul;3;2008;6;2.077.046;3.330.012
Heist;Nov;13;2015;8.Eyl;0.050136;3.324.184
Obvious Child;Jun;6;2014;1;3.122.616;332.407
Pootie Tang;Jun;29;2001;3.May;3.293.258;3.293.258
Riding Giants;Jul;9;2004;2.Haz;2.276.368;3.292.333
Sunshine State;Jun;21;2002;5.Haz;3.064.356;3.281.898
Romeo Is Bleeding;Feb;4;1994;10;3.275.585;3.275.585
Only the Strong;Aug;27;1993;6;3.273.588;3.273.588
Pathology;Apr;18;2008;8;0.109045;3.270.974
Tadpole;Jul;19;2002;0.15;2.891.288;3.270.128
Resurrecting the Champ;Aug;24;2007;13;3.172.382;3.260.555
Peaceful Warrior;Jun;2;2006;10;2.893.666;3.260.179
Supercross;Aug;17;2005;30;310.255;325.255
Letters to God;Apr;9;2010;3;2.848.587;3.237.452
Romance and Cigarettes;Sep;7;2007;11;0.551002;3.231.251
Top Hat;Sep;6;1935;0.609;1.782;3.202
The Rover;Jun;13;2014;8.May;1.109.199;3.180.252
Wordplay;Jun;16;2006;0.5;312.127;3.177.636
Rosewater;Nov;14;2014;10;3.128.941;3.168.858
Maurice;Jan;1;1987;2.Haz;314.795;314.795
Beautiful;Sep;29;2000;9;3.134.509;3.134.509
Imagine Me & You;Jan;27;2006;7.Eyl;0.672243;3.129.471
Boynton Beach Club;Mar;24;2006;2.Eyl;3.127.472;3.127.472
The Last House on the Left;Aug;30;1972;0.087;3.Oca;3.Oca
Dear Frankie;Mar;4;2005;4.Haz;1.340.891;3.099.369
Your Sister's Sister;Jun;15;2012;0.12;1.597.486;3.090.593
Jawbreaker;Feb;19;1999;3;307.682;307.682
Tristram Shandy: A Cock and Bull Story;Jan;27;2006;Nis.75;1.253.413;3.061.763
The Widow of St. Pierre;Mar;2;2001;13;305.838;305.838
Songcatcher;Jun;15;2001;1.Ağu;3.050.934;3.050.934
Que Horas Ela Volta?;Aug;28;2015;1.Şub;0.376976;3.048.209
The East;May;31;2013;6.May;2.274.649;3.027.956
Over the Hill to the Poorhouse;Sep;17;1920;0.1;3;3
Fengkuang de Shitou;Dec;31;2006;0.5;0;3
Malone;May;1;1987;10;3;3
Married Life;Mar;7;2008;12;1.506.998;2.975.188
Basquiat;Aug;9;1996;3;2.962.051;2.962.051
The Pirate;Jan;1;1948;3.Tem;2.956;2.956
Isn't She Great;Jan;28;2000;36;2.954.405;2.954.405
Filly Brown;Apr;19;2013;Oca.25;2.850.357;2.940.411
Metropolitan;Aug;3;1990;0.43;2.938;2.938
Blood Ties;Mar;21;2014;26;0.042472;2.923.959
Waiting for Guffman;Jan;31;1997;4;2.922.988;2.922.988
Raising Victor Vargas;Mar;28;2003;0.8;2.073.984;2.900.578
Cradle Will Rock;Dec;8;1999;32;289.997;289.997
Find Me Guilty;Mar;17;2006;13;1.173.673;2.898.225
Happy, Texas;Oct;1;1999;1.Tem;2.039.192;2.891.228
In the Company of Men;Aug;1;1997;0.025;2.883.661;2.883.661
Jindabyne;Apr;27;2007;10.Ağu;0.399879;2.862.544
Home Run;Apr;19;2013;1.Şub;2.859.955;2.859.955
Othello;Dec;14;1995;11;2.844.379;2.844.379
eXistenZ;Apr;23;1999;20.Tem;2.840.417;2.840.417
Adam;Jul;29;2009;3.Şub;2.283.291;2.834.485
Reservoir Dogs;Oct;23;1992;1.Şub;2.832.029;2.832.029
Everything Must Go;May;13;2011;5;2.712.131;282.101
The White Countess;Dec;21;2005;16;1.669.971;2.814.566
Quinceanera;Aug;2;2006;0.4;1.692.693;2.797.199
The Perez Family;May;12;1995;11;2.794.056;2.794.056
Love Stinks;Sep;10;1999;4;2.793.776;2.793.776
Captive;Sep;18;2015;2;2.583.301;2.791.973
Restless;Sep;16;2011;8;0.163753;2.772.511
Blood Simple;Jan;18;1985;1.May;1.690.913;2.730.877
Wuthering Heights;Oct;5;2012;8;0.100915;2.721.534
Ajami;Feb;3;2010;1;0.621859;2.721.096
Goodbye Bafana;Dec;14;2007;30;0;2.717.302
Chéri;Jun;26;2009;23;2.715.657;2.715.657
Straight out of Brooklyn;Jan;1;1991;0.45;2.712.293;2.712.293
Auto Focus;Oct;18;2002;7;2.062.066;2.703.821
Bronson;Oct;9;2009;0.23;0.104979;2.703.762
Bobby Jones: Stroke of Genius;Apr;30;2004;17;2.694.071;2.694.071
No Man's Land;Dec;7;2001;1;1.067.481;2.684.207
Redbelt;May;2;2008;7;2.344.847;2.667.084
The Signal;Jun;13;2014;4;0.600896;2.665.322
God's Army;Mar;10;2000;0.3;2.637.726;2.652.515
Mississippi Mermaid;Jan;15;1999;1.Haz;0.027795;2.627.795
Shalako;Jan;1;1968;1.455;Şub.62;Şub.62
Infamous;Oct;13;2006;13;115.133;2.613.717
Limbo;Jun;4;1999;8.Mar;216.071;2.598.224
N-Secure;Oct;15;2010;1.Haz;2.595.644;2.595.644
The Gatekeepers;Feb;1;2013;1.May;2.408.553;2.592.308
Trust the Man;Aug;18;2006;9;1.530.535;2.548.378
Love and Death on Long Island;Mar;6;1998;4.Mar;2.542.264;2.542.264
Bucky Larson: Born to Be a Star;Sep;9;2011;10;2.529.395;2.529.395
When The Cat's Away;Sep;20;1996;0.3;1.652.472;2.525.984
Novocaine;Nov;16;2001;6;2.025.238;2.522.928
But I'm a Cheerleader;Jul;7;2000;1.Şub;2.205.627;2.509.344
Grace Unplugged;Oct;4;2013;1.Tem;2.507.159;2.507.159
It Happened One Night;Jan;1;1934;0.325;2.May;2.May
Niagara;Jan;21;1953;Oca.25;2.May;2.May
Unforgettable;Feb;23;1996;18;248.379;248.379
After.Life;Apr;9;2010;4.May;0.108596;2.481.925
The Incredibly True Adventure of Two Girls in Love;Jun;16;1995;0.25;2.210.408;2.477.155
And When Did You Last See Your Father?;Jun;6;2008;8;107.124;2.476.491
Jefferson in Paris;Mar;31;1995;14;2.461.628;2.461.628
Four Lions;Nov;5;2010;Mar.75;0.310007;2.436.111
The Grace Card;Feb;25;2011;0.2;2.430.735;2.430.735
Hamlet;May;12;2000;2;1.577.287;2.419.669
What Just Happened;Oct;17;2008;27;1.090.947;2.412.123
The Devil's Double;Jul;29;2011;19.Oca;1.361.512;2.406.666
Nannerl la soeur de Mozart;Aug;19;2011;4.May;0.707885;2.404.639
Renaissance;Sep;22;2006;18;0.070644;2.401.413
Buffalo '66;Jun;26;1998;1.May;2.380.606;2.380.606
Bamboozled;Oct;6;2000;10;2.185.266;2.373.937
Jem and the Holograms;Oct;23;2015;5;218.464;2.368.937
Misconduct;Feb;5;2016;11;0;2.352.511
Teeth;Jan;18;2008;2;0.347578;2.350.641
Gabriela;Mar;16;2001;0.05;2.335.352;2.335.352
Last Orders;Feb;15;2002;12;2.326.407;2.326.407
Two Girls and a Guy;Apr;24;1998;1;2.057.193;2.315.026
Shanghai Surprise;Aug;29;1986;17;2.315;2.315
Hav Plenty;Jun;19;1998;0.65;2.301.777;2.301.777
Repo Man;Mar;2;1984;1.May;2.Mar;2.Mar
The Yards;Oct;20;2000;20;0.88271;228.271
FUR: An Imaginary Portrait of Diane Arbus;Nov;10;2006;16.Ağu;0.223202;2.281.089
42nd Street;Mar;9;1933;0.439;1.438;2.281
The Diary of a Teenage Girl;Aug;7;2015;2;1.477.002;2.279.959
Showdown in Little Tokyo;Jan;1;1991;8;2.275.557;2.275.557
Casino Jack;Dec;17;2010;12.May;2.039.869;2.272.186
Clay Pigeons;Sep;25;1998;8;1.793.359;2.256.606
DysFunkTional Family;Apr;4;2003;3;2.255;2.255
My All-American;Nov;13;2015;20;2.246;2.246
It's All Gone Pete Tong;Apr;15;2005;2;0.12062;2.226.603
Smilla's Sense of Snow;Feb;28;1997;35;2.221.994;2.221.994
The Molly Maguires;Jan;1;1970;11;2.Şub;2.Şub
Dod sno;Jun;19;2009;0.8;0.046742;219.402
In the Shadow of the Moon;Sep;7;2007;2;1.134.358;2.175.587
A Dog of Flanders;Aug;27;1999;7;2.165.637;2.165.637
Shadow Conspiracy;Jan;31;1997;45;215.454;215.454
Grave Encounters;Sep;9;2011;2;0;2.151.887
Now is Good;Jan;8;2013;0.5;0;2.141.436
Videodrome;Feb;4;1983;5.952;2.120.439;2.120.439
The Nutcracker;Nov;24;1993;19;2.119.994;2.119.994
Roar;Jan;1;1981;17;211.005;211.005
Mallrats;Oct;20;1995;6.Oca;2.108.367;2.108.367
Faithful;Apr;5;1996;13;2.104.439;2.104.439
The Pursuit of D.B. Cooper;Nov;13;1981;12;2.104.164;2.104.164
Another Earth;Jul;22;2011;0.175;1.321.194;2.102.779
I’m Not Ashamed;Oct;21;2016;1.May;208.298;208.298
Zero Effect;Jan;30;1998;5;2.080.693;2.080.693
Strangers with Candy;Jun;28;2006;2;2.072.645;2.077.844
Ayurveda: Art of Being;Jul;19;2002;0.3;0.016892;2.066.892
Ravenous;Mar;19;1999;12;2.062.406;2.062.406
Z Storm;Aug;18;2015;7;0;205.333
Beyond the Mat;Oct;22;1999;0.5;204.757;204.757
Roadside Romeo;Oct;24;2008;2;0.055202;204.609
El Mariachi;Feb;26;1993;0.007;204.092;2.041.928
The Work and the Glory: American Zion;Oct;21;2005;6.May;2.025.032;2.025.032
The Broken Hearts Club: A Romantic Comedy;Sep;29;2000;1;1.744.858;2.022.442
Sur Le Seuil;Oct;3;2003;2.May;2.013.052;2.013.052
Greater;Aug;26;2016;9;2.000.093;2.000.093
She Done Him Wrong;Feb;9;1933;0.2;2;2
The Wrong Man;Dec;23;1956;1.Şub;2;2
Wilson;Aug;1;1944;5.Şub;2;2
Return to the Blue Lagoon;Jan;1;1991;11;2;2
Can't Stop the Music;Jun;20;1980;20;2;2
Playing for Keeps;Oct;3;1986;35;2;2
The Art of Getting By;Jun;17;2011;4;1.430.241;1.989.035
Shortbus;Oct;4;2006;2;1.985.292;1.985.292
Red State;Sep;23;2011;4;1.065.429;1.983.596
Escobar: Paradise Lost;Jun;26;2015;17;0.195792;1.973.945
Osama;Jan;30;2004;0.5;1.127.331;1.971.479
Felicia's Journey;Nov;12;1999;15;0.824295;1.970.268
All the Boys Love Mandy Lane;Oct;11;2013;0.75;0;1.960.521
Crazy in Alabama;Oct;22;1999;15;1.954.202;1.954.202
Cecil B. Demented;Aug;11;2000;10;1.276.984;1.953.882
The Clan of the Cave Bear;Jan;17;1986;15;1.953.732;1.953.732
La chambre bleue;Oct;3;2014;1.Nis;0.260441;194.542
The Christmas Candle;Nov;15;2013;7;1.632;1.933.829
Thumbsucker;Sep;16;2005;4;1.328.679;1.919.197
Les herbes folles;Jun;25;2010;14;0.403952;1.903.952
The Mighty Macs;Oct;21;2011;7;1.891.936;1.891.936
A Better Life;Jun;24;2011;10;1.759.252;1.884.251
Meek's Cutoff;Apr;8;2011;2;0.977772;1.869.928
Tusk;Sep;19;2014;3;1.821.983;1.857.688
Dom Hemingway;Apr;2;2014;7;0.523511;1.857.458
Who Killed the Electric Car?;Jun;28;2006;1;1.678.874;1.849.392
Zulu;Dec;31;2013;16;0;1.844.228
Savva. Serdtse voyna;Mar;8;2016;30;0;1.841.369
The Believer;May;17;2002;1.May;0.406035;1.840.248
Tu Xia Chuan Qi;Dec;31;2011;12;0;18.284
Eye See You;Sep;20;2002;55;0.079161;180.799
Eye See You;Sep;20;2002;55;0.079161;180.799
Code 46;Aug;6;2004;7.May;0.197148;1.788.324
Tumbleweeds;Nov;24;1999;0.312;1.350.248;1.788.168
The Dangerous Lives of Altar Boys;Jun;14;2002;12;1.779.284;1.779.284
Murderball;Jul;8;2005;0.35;1.531.154;1.772.979
The Messenger;Nov;13;2009;6.May;110.966;1.744.952
Simon;Apr;7;2006;1.Mar;0.004055;1.738.663
Che, Part 1: The Argentine;Jan;9;2009;29;1.733.532;1.733.532
Freeheld;Oct;2;2015;7;0.546201;1.732.228
Men, Women and Children;Oct;1;2014;16;0.705908;1.705.908
Lady in White;Apr;22;1988;4.Tem;1.705.139;1.705.139
The Bridge of San Luis Rey;Jun;10;2005;24;0.049981;1.696.765
Saint Ralph;Aug;5;2005;5.Şub;0.795126;1.695.126
Ararat;Nov;15;2002;15.May;1.693;1.693
Jesus' Son;Jun;16;2000;2.May;1.282.084;1.687.548
Steel;Aug;15;1997;16;1.686.429;1.686.429
Deadfall;Dec;7;2012;6;0.066351;1.673.635
Subway;Nov;6;1985;2;0.390659;1.663.296
Factory Girl;Feb;2;2007;7;1.661.464;1.661.464
The Book of Mormon Movie, Volume 1: The Journey;Sep;12;2003;2;1.660.865;1.660.865
Festen;Oct;9;1998;1.Mar;164.778;164.778
Marci X;Aug;22;2003;20;1.646.664;1.646.664
It's a Wonderful Afterlife;Oct;8;2010;10;0;1.642.939
Spider;Feb;28;2003;10;1.641.788;1.641.788
USS Indianapolis: Men of Courage;Nov;11;2016;40;0;1.641.255
Gun Shy;Feb;4;2000;10;1.638.202;1.638.202
Flammen og Citronen;Jul;31;2009;9;0.148089;1.635.241
Bacheha-Ye aseman;Jan;22;1999;0.18;0.933933;1.628.579
Home;Jun;5;2009;12;0;1.620.056
Session 9;Aug;10;2001;1.May;0.378176;1.619.602
Walking and Talking;Jul;17;1996;1;128.748;1.615.787
Oscar and Lucinda;Dec;31;1997;12.May;1.612.957;1.612.957
The Blue Butterfly;Feb;20;2004;10.Nis;1.610.194;1.610.194
Dogtown and Z-Boys;Apr;26;2002;0.4;1.293.295;1.600.566
A Hard Day's Night;Aug;11;1964;0.56;153.786;1.597.233
Triangle;Feb;10;2010;12;0;1.595.168
Midnight Meat Train;Aug;1;2008;15;0.073548;1.590.246
Weekend;Sep;23;2011;0.19;0.484592;1.577.585
Nicholas Nickleby;Dec;27;2002;10;15.628;15.628
Stan Helsing: A Parody;Oct;27;2009;14;0;1.553.556
Chocolate: Deep Dark Secrets;Sep;16;2005;1;0.049;1.549
The Statement;Dec;12;2003;27;0.765637;1.545.064
The Lords of Salem;Apr;19;2013;1.May;1.165.881;1.541.131
Blonde Ambition;Dec;21;2007;10;0.006422;1.537.479
A Midnight Clear;Apr;24;1992;5;1.526.697;1.526.697
Trade;Sep;28;2007;12;0.214202;1.513.388
The Cottage;Dec;31;2008;5;0;150.496
Time Changer;Oct;25;2002;0.825;1.500.711;1.500.711
Salvador;Apr;23;1986;4.May;1.May;1.May
Lion of the Desert;Jan;1;1980;35;1.May;1.May
Bubba Ho-Tep;Sep;19;2003;1;1.239.183;1.492.895
Queen of the Desert;Apr;14;2017;36;0;1.480.089
Patti Cake$;Aug;18;2017;1;0.800148;147.109
Enter the Void;Sep;24;2010;16;0.337997;1.467.278
Northfork;Jul;11;2003;1.Eyl;1.420.578;144.514
Down by Law;Sep;26;1986;1.Oca;1.436;1.436
No End In Sight;Jul;27;2007;2;1.433.319;1.433.319
I Hope They Serve Beer in Hell;Sep;25;2009;7;1.429.299;1.429.453
Panic;Dec;1;2000;1;0.779137;1.425.707
Thr3e;Jan;5;2007;2.Nis;1.008.849;1.420.418
Polytechnique;Feb;6;2009;6;1.418.304;1.418.304
Wendy and Lucy;Dec;10;2008;0.3;0.865695;1.416.046
Where the Truth Lies;Oct;14;2005;25;0.872142;1.415.656
The Funeral;Nov;1;1996;12.May;1.212.799;1.412.799
Metropolis;Jan;25;2002;15;0.673414;1.405.032
Surveillance;Jun;26;2009;3.May;0.027349;1.396.395
ГЕРОЙ;Dec;31;2015;7;0;139.141
For a Good Time, Call;Aug;31;2012;0.85;1.251.749;1.386.088
Bully;Jul;13;2001;2.Oca;0.881824;1.381.824
The Claim;Dec;29;2000;13;0.622023;1.375.635
Gandhi, My Father;Aug;3;2007;5;0.240425;1.375.194
Kynodontas;Jun;25;2010;0.323;0.110248;1.373.407
American Desi;Mar;16;2001;0.25;0.902835;1.366.235
Julia;May;8;2009;6;0.065108;1.365.108
The Offspring;Sep;4;1987;1.Oca;1.355.728;1.355.728
The Secrets of Jonathan Sperry;Sep;18;2009;1;1.355.079;1.355.079
Kansas City;Aug;16;1996;19;1.353.824;1.353.824
The City of Your Final Destination;Apr;16;2010;8.Mar;0.493296;1.353.296
Mean Creek;Aug;20;2004;0.5;0.603951;134.875
Nikté;Dec;31;2009;2.Nis;0;1.333.891
Damsels in Distress;Apr;6;2012;3;1.007.535;1.324.299
Travellers and Magicians;Jan;7;2005;1.Ağu;0.506793;1.322.161
Le hussard sur le toit;Apr;19;1996;35;1.320.043;1.320.043
Saints and Soldiers;Aug;6;2004;0.78;131.047;131.047
8 Million Ways to Die;Apr;25;1986;18;1.305.114;1.305.114
War, Inc.;May;23;2008;10;0.580862;1.299.855
Conversations with Other Women;Aug;11;2006;0.45;0.379418;1.297.745
The Business of Strangers;Dec;7;2001;6;103.092;129.092
I Spit on Your Grave;Oct;8;2010;Oca.75;0.093051;1.278.471
Saving Face;May;27;2005;2.May;1.187.266;1.269.705
Twixt;Jul;23;2013;7;0;1.268.346
The Holy Girl;Apr;29;2005;1.Nis;0.304124;1.261.792
The Singles Ward;Feb;1;2002;0.5;1.250.798;1.250.798
Outlander;Jan;23;2009;50;0.166003;1.250.617
The Rocky Horror Picture Show;Sep;26;1975;1.Şub;1.054.845;124.894
Losin' It;Apr;8;1983;7;1.246.141;1.246.141
The Future;Jul;29;2011;1;0.568662;1.239.174
Slow Burn;Apr;13;2007;15.May;1.237.615;1.237.615
You Got Served: Beat The World;Jun;21;2011;10;0;1.230.542
Slacker;Aug;1;1991;0.023;1.227.508;1.227.508
Blackthorn;Oct;7;2011;4.May;0.200558;1.217.307
Darling Companion;Apr;20;2012;12;0.793352;1.200.346
Anna;Jun;6;2014;4.357.373;0;1.Şub
Phantom;Mar;1;2013;18;1.034.589;119.951
Me and Orson Welles;Nov;25;2009;25;1.190.003;1.190.003
Kill the Irishman;Mar;11;2011;12;1.188.194;1.188.194
Fiza;Sep;8;2000;1;0.623791;1.179.462
Casa de Areia;Aug;11;2006;Mar.75;0.539285;1.178.175
Groove;Jun;9;2000;0.5;1.115.313;1.167.524
The Burning Plain;Sep;18;2009;20;0.20073;1.167.092
The Overnight;Jun;19;2015;0.2;1.109.808;1.165.996
King of California;Sep;14;2007;10;0.268461;1.165.102
Tarnation;Oct;6;2004;0.4;0.592014;1.162.014
Trois;Feb;11;2000;0.2;1.161.843;1.161.843
The Face of Love;Mar;7;2014;4;0.385069;1.158.877
Chuck&Buck;Jul;14;2000;0.25;1.055.671;1.157.672
Palo Alto;May;9;2014;1;0.767732;1.156.309
Get Real;Apr;30;1999;2;1.152.411;1.152.411
Excessive Force;May;14;1993;13;1.152.117;1.152.117
The Son of No One;Nov;4;2011;15;0.03068;1.148.578
Lolita;Jul;22;1998;55;1.147.784;1.147.784
Lolita;Jul;22;1998;55;1.147.784;1.147.784
L.I.E.;Sep;7;2001;0.7;1.140.965;1.140.965
Sholem Aleichem: Laughing in the Darkness;Jul;8;2011;0.5;1.131.261;1.131.261
The Ballad of Jack and Rose;Mar;25;2005;1.May;0.712294;1.126.258
The R.M.;Jan;31;2003;0.5;1.111.615;1.111.615
Burn;Jul;20;2012;0.225;1.109.276;1.109.276
A Little Bit of Heaven;May;4;2012;12.May;0.010011;1.100.287
Slam;Oct;9;1998;1;1.009.819;1.087.521
Blood and Wine;Feb;21;1997;26;108.335;108.335
Loin des hommes;Apr;14;2015;7.Tem;0.005336;1.080.428
Dinner Rush;Sep;28;2001;2;0.638227;1.075.504
Ain't Them Bodies Saints;Aug;16;2013;5;0.391611;1.075.009
50 to 1;Mar;21;2014;10;1.069.454;1.069.454
Undiscovered;Aug;26;2005;9;1.069.318;1.069.318
September Dawn;Aug;24;2007;10.Oca;1.066.555;1.066.555
The Oogieloves in the BIG Balloon Adventure;Aug;29;2012;20;1.065.907;1.065.907
Wonderland;Oct;3;2003;5.May;1.060.512;1.060.512
The Ten Commandments;Oct;19;2007;10;0.95282;1.051.907
Light Sleeper;Sep;21;1992;5;1.050.861;1.050.861
Coriolanus;Jan;20;2012;10;0.749641;1.049.641
A Home at the End of the World;Jul;23;2004;6.May;1.029.017;103.381
Urbania;Sep;15;2000;0.225;1.032.075;1.032.075
Twin Falls Idaho;Jul;30;1999;0.5;0.985341;1.027.228
Spun;Mar;14;2003;4.May;0.410241;1.022.649
Chain Letter;Oct;1;2010;3;0.205842;1.022.453
The Innkeepers;Feb;3;2012;0.75;0.078396;1.011.535
Owning Mahowny;May;2;2003;10;1.011.054;1.011.054
The Girlfriend Experience;May;22;2009;1.Mar;0.69584;100.584
Ruby in Paradise;Oct;1;1993;0.8;1.001.437;1.001.437
March or Die;Aug;5;1977;7;1;1
Caravans;Jan;1;1978;14;1;1
Fifty Dead Men Walking;Aug;21;2009;10;0;0.997921
Duma;Sep;30;2005;12;0.870067;0.99479
American Teen;Jul;25;2008;5;0.942441;0.989319
Another Happy Day;Nov;18;2011;4;0.00912;0.978527
MirrorMask;Sep;30;2005;4;0.864959;0.973613
Down in the Valley;May;5;2006;8;0.568932;0.973443
Savage Grace;May;28;2008;4.Haz;0.434417;0.968805
Circumstance;Aug;26;2011;0.9;0.454121;0.958978
Wild Card;Jan;30;2015;30;0.0032;0.929157
Aimée & Jaguar;Aug;11;2000;6.Ağu;0.927107;0.927107
Jimi: All is By My Side;Sep;26;2014;5;0.340911;0.927074
Delgo;Dec;12;2008;40;0.91584;0.91584
Dungeons & Dragons: Wrath of the Dragon God;Dec;31;2005;15;0;0.909822
The Ballad of Gregorio Cortez;Aug;19;1983;1.305;0.909;0.909
The Brothers Solomon;Sep;7;2007;10;0.900926;0.900926
Mata Hari;Dec;31;1931;0.558;0.9;0.9
à L'Intérieur;Apr;15;2008;3;0;0.895932
Party Monster;Aug;29;2003;5;0.742898;0.89403
The Caveman's Valentine;Mar;2;2001;13.May;0.687081;0.892506
The Blue Bird;Jan;1;1976;1.Şub;0.887;0.887
La otra conquista;Apr;19;2000;3.May;0.88641;0.88641
Princess Kaiulani;May;14;2010;9;0.883887;0.883887
The Blood of Heroes;Feb;23;1990;7.Tem;0.88229;0.88229
Pandora's Box;Aug;9;2002;0.8;0.88195;0.88195
Venom;Sep;16;2005;25;0.881745;0.881745
All Good Things;Dec;3;2010;20;0.582024;0.873617
Two Night Stand;Sep;26;2014;1.Haz;0.0156;0.868081
Latter Days;Jan;30;2004;0.85;0.833118;0.865708
Miss Julie;May;5;2015;5.May;0;0.863895
Redacted;Nov;16;2007;5;0.065388;0.861325
I Origins;Jul;18;2014;1;0.336472;0.852399
Brigham City;Apr;6;2001;1;0.852206;0.852206
Atlas Shrugged: Who Is John Galt?;Sep;12;2014;5;0.85169;0.85169
Alone with Her;Jan;17;2007;1;0.010787;0.844377
Higher Ground;Aug;23;2011;1.Ağu;0.841056;0.842693
Primer;Oct;8;2004;0.007;0.42476;0.841926
The Battle of Shaker Heights;Aug;22;2003;1;0.280351;0.839145
Illuminata;Aug;6;1999;10;0.836641;0.836641
Hobo with a Shotgun;May;6;2011;3;0.703372;0.834953
Compliance;Aug;17;2012;0.27;0.319285;0.8307
Donkey Punch;Jan;23;2009;0.75;0.019367;0.814801
Charly;Sep;27;2002;0.95;0.814666;0.814666
Freedom;Jun;5;2015;14.May;0;0.812783
The Barbarians;Mar;31;1987;4;0.8;0.8
Manglehorn;Jun;19;2015;4;0.13227;0.797439
Molière;Jul;27;2007;21.Haz;0.635733;0.791154
The Ten;Aug;3;2007;May.25;0.769726;0.786677
Trespass;Oct;14;2011;35;0.016816;0.786532
POM Wonderful Presents: The Greatest Movie Ever Sold;Apr;22;2011;1.Ağu;0.638476;0.783733
Without Limits;Sep;11;1998;25;0.780326;0.780326
Survivor;May;29;2015;20;0;0.774905
Beastmaster 2: Through the Portal of Time;Aug;30;1991;6;0.77349;0.77349
Praia do Futuro;Feb;27;2015;4;0.02062;0.760678
Sherrybaby;Sep;8;2006;2;0.199176;0.759504
Trees Lounge;Oct;11;1996;1.Mar;0.749741;0.749741
Love and Other Catastrophes;Mar;28;1997;0.25;0.212285;0.743216
The Square;Apr;9;2010;1.Eyl;0.406216;0.740932
