Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
The Bourne Ultimatum;Aug;3;2007;130;22.747.107;442.161.562
Men in Black 2;Jul;3;2002;140;190.418.803;441.767.803
Mrs. Doubtfire;Nov;24;1993;25;219.195.051;441.286.003
Terminator: Genisys;Jul;1;2015;155;89.760.956;440.160.956
The Mummy Returns;May;4;2001;98;20.200.764;435.040.395
Warcraft;Jun;10;2016;160;47.225.655;433.125.655
Terminator 3: Rise of the Machines;Jul;1;2003;170;150.358.296;433.058.296
Pretty Woman;Mar;23;1990;14;178.406.268;432.645.872
Die Another Day;Nov;22;2002;142;160.942.139;431.942.139
La La Land;Dec;9;2016;20;151.101.803;431.286.372
The King’s Speech;Nov;26;2010;15;138.797.449;430.821.168
The Matrix Revolutions;Nov;5;2003;150;13.927.091;42.730.026
Cast Away;Dec;22;2000;85;233.632.142;427.230.516
Dances with Wolves;Nov;9;1990;19;184.208.842;424.2
The Chronicles of Narnia: The Voyage of the Dawn Treader;Dec;10;2010;155;10.438.695;41.818.695
The Chronicles of Narnia: Prince Caspian;May;16;2008;225;14.162.149;417.341.288
The Wolverine;Jul;26;2013;115;132.556.852;416.456.852
The Mummy;May;7;1999;80;155.385.488;416.385.488
Jason Bourne;Jul;29;2016;120;16.219.292;416.197.059
Sex and the City;May;30;2008;57.5;152.647.258;415.247.258
Sex and the City;May;30;2008;57.5;152.647.258;415.247.258
Rain Man;Dec;16;1988;25;172.825.435;412.8
Batman;Jun;23;1989;35;251.188.924;411.348.924
Pacific Rim;Jul;12;2013;190;101.802.906;411.002.906
The Bodyguard;Nov;25;1992;25;12.194.572;410.9
The Mummy;Jun;9;2017;195;80.101.125;410.333.326
Kingsman: The Golden Circle;Sep;22;2017;104;100.234.838;408.834.838
Signs;Aug;2;2002;70.702.619;227.969.295;408.269.295
X2;May;2;2003;125;214.949.694;406.875.536
The Mummy: Tomb of the Dragon Emperor;Aug;1;2008;175;102.491.776;405.760.225
Kingsman: The Secret Service;Feb;13;2015;94;128.261.724;404.561.724
Ice Age: Collision Course;Jul;22;2016;105;64.063.008;403.841.637
The Exorcist;Dec;26;1973;12;204.868.002;402.735.134
Prometheus;Jun;8;2012;125;126.477.084;402.448.265
Twilight;Nov;21;2008;37;192.769.854;402.280.159
Night at the Museum: Battle of the Smithsonian;May;22;2009;150;177.243.721;402.231.063
Snow White and the Huntsman;Jun;1;2012;170;155.136.755;401.021.746
Tron: Legacy;Dec;17;2010;200;172.062.763;400.062.763
Mission: Impossible III;May;5;2006;150;133.501.348;397.501.348
Gone with the Wind;Dec;15;1939;3.Eyl;19.868.047;390.525.192
The Wolf of Wall Street;Dec;25;2013;100;116.900.694;389.870.414
Independence Day: Resurgence;Jun;24;2016;165;103.144.286;387.644.286
Grease;Jun;16;1978;6;18.181.377;38.751.377
Zhuo yao ji;Jan;22;2016;56;0.032766;386.152.042
Zhuo yao ji;Jan;22;2016;56;0.032766;386.152.042
Ice Age;Mar;15;2002;65;176.387.405;386.116.343
Home;Mar;27;2015;130;17.739.751;38.606.939
Star Trek;May;8;2009;140;257.730.019;385.680.446
Back to the Future;Jul;3;1985;19;212.259.762;385.524.862
Happy Feet;Nov;17;2006;85;198.000.317;385.000.317
Slumdog Millionaire;Nov;12;2008;14;141.330.703;38.453.044
Live Free or Die Hard;Jun;27;2007;110;134.529.403;382.288.147
Monsters vs. Aliens;Mar;27;2009;175;198.351.526;38.168.738
Fifty Shades Darker;Feb;10;2017;55;11.443.401;381.081.967
Fifty Shades Darker;Feb;10;2017;55;11.443.401;381.081.967
Hotel Transylvania;Sep;28;2012;85;148.313.048;378.505.812
Taken 2;Oct;5;2012;45;139.854.287;377.807.404
The Greatest Showman;Dec;20;2017;84;166.185.401;377.006.196
Godzilla;May;19;1998;125;136.314.294;376
G.I. Joe: Retaliation;Mar;27;2013;140;12.252.306;375.740.705
My Big Fat Greek Wedding;Apr;19;2002;5;241.438.208;374.890.034
X-Men Origins: Wolverine;May;1;2009;150;179.883.157;37.482.576
